number;ADM2_PCODE;Population;Kazakhs;ADM2_EN;ADM2_KK;ADM2_RU;ISO_3166_2;Area;Male;Female;Percentage_of_Kazakhs;color;difference
164;KZ593200;31714;13 558;Aiyrtau;Айыртау;Айыртауский;KZ-SEV1;9620;15 965;15 998;43%;1;-32
165;KZ593400;13099;10 208;Akzhar;А?жар;Акжарский;KZ-SEV1;8040;6 746;6 446;78%;1;65
166;KZ593600;26659;8 528;MagzhanZhumabaev;Ма?жанЖ?мабаев;МагжанЖумабаев;KZ-SEV1;7810;13 280;13 541;32%;2;-103
167;KZ594200;20831;8 283;Esil;Есіл;Есильский;KZ-SEV1;5140;10 513;10 456;40%;2;-81
168;KZ594600;17662;7 993;Zhambyl;Жамбыл;Жамбылский;KZ-SEV1;7470;8 886;8 896;45%;1;-4
169;KZ595000;46471;17 612;Kyzylzhar;?ызылжар;Кызылжарский;KZ-SEV1;6150;23 173;23 377;38%;2;-24
170;KZ595200;17174;4 854;Mamlyut;Мамлют;Мамлютский;KZ-SEV1;4100;8 572;8 664;28%;2;-43
171;KZ595600;17574;8 445;Shalakyn;Шала?ын;Шалакын;KZ-SEV1;4841;8 803;8 907;48%;1;-32
172;KZ595800;17664;6 717;Akkayin;А??айы?;Аккайынский;KZ-SEV1;4710;8 874;8 949;38%;1;-74
173;KZ596000;39212;12 153;Taiynsha;Тайынша;Тайыншинский;KZ-SEV1;11430;19 565;20 060;31%;1;-61
174;KZ596200;9608;3 777;Timiryazev;Тимирязев;Тимирязевский;KZ-SEV1;4510;4 900;4 776;39%;1;-22
175;KZ596400;12773;11 434;Ualikhanov;У?лиханов;Уалихановский;KZ-SEV1;12876;6 566;6 362;90%;1;99
176;KZ596600;35044;12 343;GabitMusirepov;?абитМ?сірепов;ГабитМусрепов;KZ-SEV1;11090;17 354;17 772;35%;2;-85
177;KZ611000;230227;151 666;Turkestan;Т?ркістан;Туркестан;KZ-YUZ1;196;114 074;113 956;66%;1;5 381
178;KZ611600;79046;75 715;Arys;Арыс;Арысь;KZ-YUZ1;7654;40 844;38 446;96%;1;1 664
179;KZ612000;99769;67 360;Kentau;Кентау;Кентау;KZ-YUZ1;7745;49 606;50 167;68%;3;1 678
